created_at_dt,id_x_atypical,diff_num_atypical,id_x_typical,diff_num_typical,id_x,diff_num,atypical_bot_pct,typical_bot_pct,human_pct
2019-11-23 19:55:00+00:00,0.0,-2.0,23,-12.0,48.0,-3.0,0.0,0.323943661971831,0.676056338028169
2019-11-23 20:00:00+00:00,0.0,0.0,28,5.0,37.0,-11.0,0.0,0.4307692307692308,0.5692307692307692
2019-11-23 20:05:00+00:00,0.0,0.0,20,-8.0,37.0,0.0,0.0,0.3508771929824561,0.6491228070175439
2019-11-23 20:10:00+00:00,0.0,0.0,17,-3.0,15.0,-22.0,0.0,0.53125,0.46875
2019-11-23 20:15:00+00:00,0.0,0.0,15,-2.0,26.0,11.0,0.0,0.36585365853658536,0.6341463414634146
2019-11-23 20:20:00+00:00,0.0,0.0,12,-3.0,18.0,-8.0,0.0,0.4,0.6
2019-11-23 20:25:00+00:00,0.0,0.0,12,0.0,13.0,-5.0,0.0,0.48,0.52
2019-11-23 20:30:00+00:00,1.0,1.0,15,3.0,29.0,16.0,0.022222222222222223,0.3333333333333333,0.6444444444444445
2019-11-23 20:35:00+00:00,1.0,0.0,23,8.0,33.0,4.0,0.017543859649122806,0.40350877192982454,0.5789473684210527
2019-11-23 20:40:00+00:00,0.0,-1.0,17,-6.0,26.0,-7.0,0.0,0.3953488372093023,0.6046511627906976
2019-11-23 20:45:00+00:00,2.0,2.0,10,-7.0,36.0,10.0,0.041666666666666664,0.20833333333333334,0.75
2019-11-23 20:50:00+00:00,0.0,-2.0,19,9.0,19.0,-17.0,0.0,0.5,0.5
2019-11-23 20:55:00+00:00,1.0,1.0,7,-12.0,23.0,4.0,0.03225806451612903,0.22580645161290322,0.7419354838709677
2019-11-23 21:00:00+00:00,1.0,0.0,18,11.0,24.0,1.0,0.023255813953488372,0.4186046511627907,0.5581395348837209
2019-11-23 21:05:00+00:00,1.0,0.0,12,-6.0,34.0,10.0,0.02127659574468085,0.2553191489361702,0.723404255319149
2019-11-23 21:10:00+00:00,1.0,0.0,39,27.0,33.0,-1.0,0.0136986301369863,0.5342465753424658,0.4520547945205479
2019-11-23 21:15:00+00:00,1.0,0.0,35,-4.0,90.0,57.0,0.007936507936507936,0.2777777777777778,0.7142857142857143
2019-11-23 21:20:00+00:00,2.0,1.0,27,-8.0,54.0,-36.0,0.024096385542168676,0.3253012048192771,0.6506024096385542
2019-11-23 21:25:00+00:00,0.0,-2.0,29,2.0,48.0,-6.0,0.0,0.37662337662337664,0.6233766233766234
2019-11-23 21:30:00+00:00,4.0,4.0,19,-10.0,50.0,2.0,0.0547945205479452,0.2602739726027397,0.684931506849315
2019-11-23 21:35:00+00:00,3.0,-1.0,34,15.0,39.0,-11.0,0.039473684210526314,0.4473684210526316,0.5131578947368421
2019-11-23 21:40:00+00:00,1.0,-2.0,29,-5.0,45.0,6.0,0.013333333333333334,0.38666666666666666,0.6
2019-11-23 21:45:00+00:00,2.0,1.0,37,8.0,45.0,0.0,0.023809523809523808,0.44047619047619047,0.5357142857142857
2019-11-23 21:50:00+00:00,0.0,-2.0,12,-25.0,39.0,-6.0,0.0,0.23529411764705882,0.7647058823529411
2019-11-23 21:55:00+00:00,0.0,0.0,24,12.0,44.0,5.0,0.0,0.35294117647058826,0.6470588235294118
2019-11-23 22:00:00+00:00,1.0,1.0,25,1.0,37.0,-7.0,0.015873015873015872,0.3968253968253968,0.5873015873015873
2019-11-23 22:05:00+00:00,0.0,-1.0,22,-3.0,32.0,-5.0,0.0,0.4074074074074074,0.5925925925925926
2019-11-23 22:10:00+00:00,0.0,0.0,26,4.0,35.0,3.0,0.0,0.4262295081967213,0.5737704918032787
2019-11-23 22:15:00+00:00,0.0,0.0,10,-16.0,37.0,2.0,0.0,0.2127659574468085,0.7872340425531915
2019-11-23 22:20:00+00:00,2.0,2.0,25,15.0,28.0,-9.0,0.03636363636363636,0.45454545454545453,0.509090909090909
2019-11-23 22:25:00+00:00,1.0,-1.0,17,-8.0,27.0,-1.0,0.022222222222222223,0.37777777777777777,0.6
2019-11-23 22:30:00+00:00,0.0,-1.0,24,7.0,31.0,4.0,0.0,0.43636363636363634,0.5636363636363636
2019-11-23 22:35:00+00:00,0.0,0.0,19,-5.0,32.0,1.0,0.0,0.37254901960784315,0.6274509803921569
2019-11-23 22:40:00+00:00,3.0,3.0,21,2.0,31.0,-1.0,0.05454545454545454,0.38181818181818183,0.5636363636363636
2019-11-23 22:45:00+00:00,1.0,-2.0,21,0.0,38.0,7.0,0.016666666666666666,0.35,0.6333333333333333
2019-11-23 22:50:00+00:00,0.0,-1.0,22,1.0,24.0,-14.0,0.0,0.4782608695652174,0.5217391304347826
2019-11-23 22:55:00+00:00,0.0,0.0,19,-3.0,24.0,0.0,0.0,0.4418604651162791,0.5581395348837209
2019-11-23 23:00:00+00:00,1.0,1.0,13,-6.0,24.0,0.0,0.02631578947368421,0.34210526315789475,0.631578947368421
2019-11-23 23:05:00+00:00,0.0,-1.0,16,3.0,18.0,-6.0,0.0,0.47058823529411764,0.5294117647058824
2019-11-23 23:10:00+00:00,0.0,0.0,20,4.0,15.0,-3.0,0.0,0.5714285714285714,0.42857142857142855
2019-11-23 23:15:00+00:00,0.0,0.0,19,-1.0,17.0,2.0,0.0,0.5277777777777778,0.4722222222222222
2019-11-23 23:20:00+00:00,0.0,0.0,12,-7.0,12.0,-5.0,0.0,0.5,0.5
2019-11-23 23:25:00+00:00,0.0,0.0,15,3.0,21.0,9.0,0.0,0.4166666666666667,0.5833333333333334
2019-11-23 23:30:00+00:00,0.0,0.0,19,4.0,20.0,-1.0,0.0,0.48717948717948717,0.5128205128205128
2019-11-23 23:35:00+00:00,1.0,1.0,17,-2.0,17.0,-3.0,0.02857142857142857,0.4857142857142857,0.4857142857142857
2019-11-23 23:40:00+00:00,0.0,-1.0,16,-1.0,19.0,2.0,0.0,0.45714285714285713,0.5428571428571428
2019-11-23 23:45:00+00:00,1.0,1.0,11,-5.0,23.0,4.0,0.02857142857142857,0.3142857142857143,0.6571428571428571
2019-11-23 18:05:00+00:00,0.0,0.0,0,-2.0,0.0,0.0,,,
2019-11-23 18:10:00+00:00,0.0,0.0,0,0.0,0.0,0.0,,,
2019-11-23 18:15:00+00:00,0.0,0.0,0,0.0,0.0,-1.0,,,
2019-11-23 18:20:00+00:00,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0
2019-11-23 18:25:00+00:00,0.0,0.0,1,0.0,1.0,1.0,0.0,0.5,0.5
2019-11-23 18:30:00+00:00,0.0,0.0,1,0.0,1.0,0.0,0.0,0.5,0.5
2019-11-23 18:35:00+00:00,0.0,0.0,1,0.0,1.0,0.0,0.0,0.5,0.5
2019-11-23 18:40:00+00:00,0.0,0.0,0,-1.0,1.0,0.0,0.0,0.0,1.0
2019-11-23 18:45:00+00:00,0.0,0.0,0,0.0,0.0,-1.0,,,
2019-11-23 18:50:00+00:00,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0
2019-11-23 18:55:00+00:00,0.0,0.0,1,1.0,0.0,-1.0,0.0,1.0,0.0
2019-11-23 19:00:00+00:00,0.0,0.0,1,0.0,2.0,2.0,0.0,0.3333333333333333,0.6666666666666666
2019-11-23 19:05:00+00:00,0.0,0.0,0,-1.0,0.0,-2.0,,,
2019-11-23 19:10:00+00:00,0.0,0.0,2,2.0,3.0,3.0,0.0,0.4,0.6
2019-11-23 19:15:00+00:00,0.0,0.0,2,0.0,6.0,3.0,0.0,0.25,0.75
2019-11-23 19:20:00+00:00,0.0,0.0,0,-2.0,3.0,-3.0,0.0,0.0,1.0
2019-11-23 19:25:00+00:00,0.0,0.0,0,0.0,1.0,-2.0,0.0,0.0,1.0
2019-11-23 19:30:00+00:00,0.0,0.0,0,0.0,3.0,2.0,0.0,0.0,1.0
2019-11-23 19:35:00+00:00,0.0,0.0,0,0.0,7.0,4.0,0.0,0.0,1.0
2019-11-23 19:40:00+00:00,0.0,0.0,2,2.0,2.0,-5.0,0.0,0.5,0.5
2019-11-23 19:45:00+00:00,0.0,0.0,3,1.0,5.0,3.0,0.0,0.375,0.625
2019-11-23 19:50:00+00:00,0.0,0.0,35,32.0,51.0,46.0,0.0,0.4069767441860465,0.5930232558139535
2019-11-23 23:50:00+00:00,0.0,0.0,14,3.0,15.0,-8.0,0.0,0.4827586206896552,0.5172413793103449
2019-11-23 23:55:00+00:00,0.0,0.0,11,-3.0,23.0,8.0,0.0,0.3235294117647059,0.6764705882352942
2019-11-24 00:00:00+00:00,0.0,0.0,1,-10.0,1.0,-22.0,0.0,0.5,0.5
2019-11-24 00:05:00+00:00,0.0,0.0,5,4.0,3.0,2.0,0.0,0.625,0.375
2019-11-24 00:10:00+00:00,0.0,0.0,2,-3.0,2.0,-1.0,0.0,0.5,0.5
2019-11-24 00:15:00+00:00,0.0,0.0,2,0.0,6.0,4.0,0.0,0.25,0.75
2019-11-24 00:20:00+00:00,0.0,0.0,3,1.0,1.0,-5.0,0.0,0.75,0.25
2019-11-24 00:25:00+00:00,0.0,0.0,2,-1.0,2.0,1.0,0.0,0.5,0.5
2019-11-24 00:30:00+00:00,0.0,0.0,1,-1.0,4.0,2.0,0.0,0.2,0.8
2019-11-24 00:35:00+00:00,0.0,0.0,3,2.0,0.0,-4.0,0.0,1.0,0.0
2019-11-24 00:40:00+00:00,0.0,0.0,0,-3.0,3.0,3.0,0.0,0.0,1.0
2019-11-24 00:45:00+00:00,0.0,0.0,1,1.0,1.0,-2.0,0.0,0.5,0.5
2019-11-24 00:50:00+00:00,0.0,0.0,0,-1.0,1.0,0.0,0.0,0.0,1.0
2019-11-24 00:55:00+00:00,0.0,0.0,2,2.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333
2019-11-24 01:00:00+00:00,0.0,0.0,2,0.0,4.0,3.0,0.0,0.3333333333333333,0.6666666666666666
2019-11-24 01:05:00+00:00,0.0,0.0,1,-1.0,1.0,-3.0,0.0,0.5,0.5
2019-11-24 01:10:00+00:00,0.0,0.0,2,1.0,3.0,2.0,0.0,0.4,0.6
2019-11-24 01:15:00+00:00,0.0,0.0,1,-1.0,1.0,-2.0,0.0,0.5,0.5
2019-11-24 01:20:00+00:00,0.0,0.0,3,2.0,0.0,-1.0,0.0,1.0,0.0
2019-11-24 01:25:00+00:00,0.0,0.0,0,-3.0,0.0,0.0,,,
2019-11-24 01:30:00+00:00,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,1.0
2019-11-24 01:35:00+00:00,0.0,0.0,1,1.0,0.0,-2.0,0.0,1.0,0.0
2019-11-24 01:40:00+00:00,0.0,0.0,0,-1.0,2.0,2.0,0.0,0.0,1.0
2019-11-24 01:45:00+00:00,0.0,0.0,4,4.0,4.0,2.0,0.0,0.5,0.5
2019-11-24 01:50:00+00:00,0.0,0.0,0,-4.0,4.0,0.0,0.0,0.0,1.0
2019-11-24 01:55:00+00:00,0.0,0.0,1,1.0,1.0,-3.0,0.0,0.5,0.5
